StockInvestedin|Sector|SectorTotal|Value(Mn)|%ofTotalHoldings|1MChange|1YHighestHolding|1YLowestHolding|Quantity|1MChangeinQty|M-Cap|GroupName|funaname|date
MarutiSuzukiIndiaLtd.|Passenger/utilityvehicles|1.75|251.8|1.75|0.10%|1.85%(Jan2020)|1.27%(Sep2019)|44.88k|0.00|LargeCap|53.1|axis-equity-hybrid-fund-direct-plan|29-06-2020
Larsen&ToubroLtd.|Engineering,designing,construction|1.74|250.5|1.74|0.09%|2.84%(Oct2019)|1.63%(Mar2020)|2.69L|0.00|LargeCap|53.1|axis-equity-hybrid-fund-direct-plan|29-06-2020
UPLLtd.|Pesticidesandagrochemicals|4.14|216.7|1.51|0.24%|1.51%(May2020)|0%(Jun2019)|5.34L|93.82k|LargeCap|53.1|axis-equity-hybrid-fund-direct-plan|29-06-2020
AsianPaints(india)Ltd.|Paints|1.5|215.9|1.50|-0.05%|2.32%(Oct2019)|0%(Jun2019)|1.28L|0.00|LargeCap|53.1|axis-equity-hybrid-fund-direct-plan|29-06-2020
Dr.ReddysLaboratoriesLtd.|Pharmaceuticals|4.44|203.6|1.42|0.34%|1.42%(May2020)|0%(Jun2019)|50.00k|10.00k|LargeCap|53.1|axis-equity-hybrid-fund-direct-plan|29-06-2020
MetropolisHealthcareLtd.|Healthcareserviceproviders|1.3|186.3|1.30|0.14%|1.3%(May2020)|0%(Jun2019)|1.34L|0.00|Other|6.11|axis-equity-hybrid-fund-direct-plan|29-06-2020
#NestleIndiaLtd.|Consumerfood|1.22|175.4|1.22|1.22%|1.3%(Dec2019)|0%(Jun2019)|10.00k|10.00k|LargeCap|53.1|axis-equity-hybrid-fund-direct-plan|29-06-2020
EnduranceTechnologiesLtd.|Autoancillaries|1.85|154.7|1.08|0.09%|1.08%(May2020)|0.46%(Jun2019)|2.13L|0.00|MidCap|9.53|axis-equity-hybrid-fund-direct-plan|29-06-2020
TorrentPharmaceuticalsLtd.|Pharmaceuticals|4.44|153.6|1.07|0.27%|1.07%(May2020)|0%(Jun2019)|65.00k|15.00k|MidCap|9.53|axis-equity-hybrid-fund-direct-plan|29-06-2020
EicherMotorsLtd.|Commercialvehicles|1.04|148.9|1.04|-0.17%|1.23%(Feb2020)|0%(Jun2019)|9.00k|-3.00k|LargeCap|53.1|axis-equity-hybrid-fund-direct-plan|29-06-2020
BajajFinservLtd|Nbfc|4.58|146.2|1.02|-0.14%|2.62%(Sep2019)|1.02%(May2020)|33.20k|0.00|LargeCap|53.1|axis-equity-hybrid-fund-direct-plan|29-06-2020
TheRamcoCementsLtd.|Cement|1.81|144.9|1.01|-0.13%|1.15%(Mar2020)|0%(Jun2019)|2.40L|-0.60L|MidCap|9.53|axis-equity-hybrid-fund-direct-plan|29-06-2020
SunPharmaceuticalIndustriesLtd.|Pharmaceuticals|4.44|143.3|1.00|-0.28%|1.59%(Mar2020)|0%(Jun2019)|3.02L|-1.00L|LargeCap|53.1|axis-equity-hybrid-fund-direct-plan|29-06-2020
InfoEdge(India)Ltd.|Itenabledservices–software|0.99|142.2|0.99|0.06%|0.99%(May2020)|0%(Jun2019)|52.99k|0.00|MidCap|9.53|axis-equity-hybrid-fund-direct-plan|29-06-2020
SumitomoChemicalIndiaPrivateLtd.|Chemicals-organic|0.96|137.9|0.96|0.08%|0.96%(May2020)|0%(Jun2019)|5.30L|0.00|Other|6.11|axis-equity-hybrid-fund-direct-plan|29-06-2020
CadilaHealthcareLtd.|Pharmaceuticals|4.44|136.1|0.95|0.07%|0.95%(May2020)|0%(Jun2019)|3.95L|0.00|MidCap|9.53|axis-equity-hybrid-fund-direct-plan|29-06-2020
Castrol(india)Ltd.|Lubricants|0.94|135.9|0.94|-0.11%|1.06%(Feb2020)|0%(Jun2019)|11.76L|0.00|MidCap|9.53|axis-equity-hybrid-fund-direct-plan|29-06-2020
AmbujaCementsLtd.|Cement|1.81|114.9|0.80|-0.13%|0.93%(Apr2020)|0%(Jun2019)|6.00L|-1.90L|LargeCap|53.1|axis-equity-hybrid-fund-direct-plan|29-06-2020
MothersonSumiSystemsLtd.|Autoancillaries|1.85|111.2|0.77|0.07%|1.01%(Oct2019)|0.52%(Mar2020)|11.67L|0.00|LargeCap|53.1|axis-equity-hybrid-fund-direct-plan|29-06-2020
CityUnionBankLtd.|Banks|12.29|69.3|0.48|-0.03%|0.71%(Dec2019)|0.48%(May2020)|5.11L|0.00|MidCap|9.53|axis-equity-hybrid-fund-direct-plan|29-06-2020
SundaramFinanceLimited|Nbfc|4.58|54.2|0.38|0.01%|0.87%(Jun2019)|0.37%(Apr2020)|42.79k|0.00|MidCap|9.53|axis-equity-hybrid-fund-direct-plan|29-06-2020
#RelianceIndustriesLtd.-Rights|Refineries/marketing|4.66|6.7|0.05|0.05%|0.05%(May2020)|0%(Jun2019)|30.20k|30.20k|Other|6.11|axis-equity-hybrid-fund-direct-plan|29-06-2020
GalaxySurfactantsLtd.|Chemicals-speciality|19|1134.1|5.34|-0.11%|6.75%(Jun2019)|4.44%(Feb2020)|8.44L|0.00|SmallCap|67.59|axis-small-cap-fund-regular-plan|29-06-2020
CityUnionBankLtd.|Banks|4.74|972.3|4.58|-0.19%|7.85%(Aug2019)|4.58%(May2020)|71.70L|0.00|MidCap|13.23|axis-small-cap-fund-regular-plan|29-06-2020
AartiIndustriesLtd.|Chemicals-speciality|19|946.1|4.46|-0.47%|4.93%(Apr2020)|1.24%(Jul2019)|9.69L|0.00|MidCap|13.23|axis-small-cap-fund-regular-plan|29-06-2020
J.K.CementLtd.|Cement|9.85|804.3|3.79|0.24%|4.34%(Jan2020)|1.88%(Jul2019)|6.88L|0.00|SmallCap|67.59|axis-small-cap-fund-regular-plan|29-06-2020
FineOrganicIndustriesLtd.|Chemicals-speciality|19|783.6|3.69|-0.05%|5.22%(Sep2019)|2.93%(Jul2019)|4.04L|1.29k|SmallCap|67.59|axis-small-cap-fund-regular-plan|29-06-2020
CanFinHomesLtd.|Housingfinance|3.52|746.5|3.52|-0.45%|5.49%(Dec2019)|3.13%(Jun2019)|26.93L|0.00|SmallCap|67.59|axis-small-cap-fund-regular-plan|29-06-2020
MasFinancialServicesLtd.|Nbfc|3.68|705.4|3.32|-0.21%|6.2%(Dec2019)|3.32%(May2020)|12.31L|0.00|SmallCap|67.59|axis-small-cap-fund-regular-plan|29-06-2020
JKLakshmiCementLtd.|Cement|9.85|679.7|3.20|0.61%|3.21%(Jan2020)|0%(Jun2019)|28.12L|0.00|SmallCap|67.59|axis-small-cap-fund-regular-plan|29-06-2020
BlueStarLtd.|Airconditioner|3.09|656|3.09|-0.19%|3.28%(Apr2020)|1.5%(Dec2019)|13.37L|0.00|SmallCap|67.59|axis-small-cap-fund-regular-plan|29-06-2020
HeidelbergCementIndiaLtd.|Cement|9.85|607.5|2.86|0.18%|4.98%(Sep2019)|2.48%(Feb2020)|37.25L|0.00|SmallCap|67.59|axis-small-cap-fund-regular-plan|29-06-2020
NIITTechonologiesLtd.|Computers-software|5.34|594.8|2.80|0.53%|8.27%(Aug2019)|1.6%(Feb2020)|4.10L|0.00|SmallCap|67.59|axis-small-cap-fund-regular-plan|29-06-2020
TataElxsiLtd.|Computers-software|5.34|539.7|2.54|-0.07%|2.61%(Apr2020)|0%(Jun2019)|7.06L|0.00|SmallCap|67.59|axis-small-cap-fund-regular-plan|29-06-2020
SRFLtd.|Chemicals-speciality|19|518.1|2.44|-0.11%|2.55%(Apr2020)|0.89%(Nov2019)|1.49L|0.00|MidCap|13.23|axis-small-cap-fund-regular-plan|29-06-2020
BrigadeEnterprisesLtd.|Residential/commercial/sezproject|2.88|478.3|2.25|-0.38%|3.3%(Mar2020)|0%(Jun2019)|47.69L|0.00|SmallCap|67.59|axis-small-cap-fund-regular-plan|29-06-2020
OrientElectricLtd.|Homeappliances|2.24|474.7|2.24|-0.15%|2.93%(Mar2020)|0%(Jun2019)|28.05L|0.00|SmallCap|67.59|axis-small-cap-fund-regular-plan|29-06-2020
NeogenChemicalsLtd.|Chemicals-speciality|19|465.7|2.19|-0.06%|4.24%(Jun2019)|1.75%(Jan2020)|10.24L|0.00|Other|6.25|axis-small-cap-fund-regular-plan|29-06-2020
CCLProducts(India)Ltd.|Tea&coffee|2.19|464.6|2.19|0.23%|2.19%(May2020)|0%(Jun2019)|21.89L|0.00|SmallCap|67.59|axis-small-cap-fund-regular-plan|29-06-2020
GulfOilLubircantsIndiaLtd.|Lubricants|2.11|448.9|2.11|-0.02%|4.76%(Jun2019)|2.11%(May2020)|7.80L|0.00|SmallCap|67.59|axis-small-cap-fund-regular-plan|29-06-2020
SudarshanChemicalIndustriesLtd.|Dyesandpigments|2.1|446.4|2.10|-0.07%|2.27%(Mar2020)|0%(Jun2019)|11.48L|0.00|SmallCap|67.59|axis-small-cap-fund-regular-plan|29-06-2020
JMFinancialLtd.|Stockbrokingandallied|2.03|430.1|2.03|-0.01%|2.57%(Jan2020)|0%(Jun2019)|67.31L|0.00|SmallCap|67.59|axis-small-cap-fund-regular-plan|29-06-2020
AhluwaliaContracts(India)Ltd.|Constructioncivil|4.98|429.7|2.02|-0.13%|3.12%(Dec2019)|1.17%(Jun2019)|25.72L|31.90k|SmallCap|67.59|axis-small-cap-fund-regular-plan|29-06-2020
VstIndustriesLtd.|Cigarettes|2.02|428.4|2.02|0.17%|2.94%(Jan2020)|1.85%(Apr2020)|1.38L|0.00|SmallCap|67.59|axis-small-cap-fund-regular-plan|29-06-2020
MultiCommodityExchangeOfIndiaLtd.|Otherfinancialservices|1.85|392|1.85|0.40%|1.85%(May2020)|0%(Jun2019)|2.95L|0.00|SmallCap|67.59|axis-small-cap-fund-regular-plan|29-06-2020
GrindwellNortonLtd.|Abrasives|1.68|356.3|1.68|0.08%|1.74%(Jun2019)|1%(Oct2019)|6.74L|0.00|SmallCap|67.59|axis-small-cap-fund-regular-plan|29-06-2020
IpcaLaboratoriesLtd.|Pharmaceuticals|1.63|337.9|1.59|-0.10%|2.3%(Aug2019)|0%(Jun2019)|2.26L|0.00|MidCap|13.23|axis-small-cap-fund-regular-plan|29-06-2020
KNRConstructions|Constructioncivil|4.98|327.2|1.54|-0.04%|1.7%(Mar2020)|0%(Jun2019)|16.30L|0.00|SmallCap|67.59|axis-small-cap-fund-regular-plan|29-06-2020
ChaletHotelsLtd.|Hotels/resorts|1.44|306.1|1.44|-0.64%|4.03%(Jan2020)|0.79%(Nov2019)|30.48L|0.00|Other|6.25|axis-small-cap-fund-regular-plan|29-06-2020
PNCInfratechLtd.|Constructioncivil|4.98|302.1|1.42|-0.26%|1.68%(Apr2020)|0%(Jun2019)|28.53L|0.00|SmallCap|67.59|axis-small-cap-fund-regular-plan|29-06-2020
NavinFlourineInternationalLtd.|Chemicals-inorganic|1.35|286.9|1.35|0.02%|1.35%(May2020)|0%(Jun2019)|1.83L|0.00|SmallCap|67.59|axis-small-cap-fund-regular-plan|29-06-2020
MetropolisHealthcareLtd.|Healthcareserviceproviders|1.09|232.1|1.09|0.11%|1.09%(May2020)|0%(Jun2019)|1.68L|0.00|Other|6.25|axis-small-cap-fund-regular-plan|29-06-2020
RallisIndiaLtd.|Pesticidesandagrochemicals|1.07|227.2|1.07|-0.01%|1.08%(Apr2020)|0%(Jun2019)|10.67L|-0.31L|SmallCap|67.59|axis-small-cap-fund-regular-plan|29-06-2020
VinatiOrganicsLtd.|Chemicals-speciality|19|186.5|0.88|0.05%|3.9%(Jun2019)|0.69%(Feb2020)|1.83L|0.00|Other|6.25|axis-small-cap-fund-regular-plan|29-06-2020
VesuviusIndiaLtd.|Refractories|0.8|169|0.80|-0.03%|3.75%(Jun2019)|0.8%(May2020)|1.94L|0.00|SmallCap|67.59|axis-small-cap-fund-regular-plan|29-06-2020
TCNSClothingCompanyLtd.|Fabricsandgarments|0.69|146.8|0.69|-0.13%|4.49%(Jun2019)|0.69%(May2020)|4.52L|0.00|SmallCap|67.59|axis-small-cap-fund-regular-plan|29-06-2020
PhoenixMillsLtd.|Residential/commercial/sezproject|2.88|134.4|0.63|-0.01%|0.78%(Mar2020)|0%(Jun2019)|2.56L|0.00|SmallCap|67.59|axis-small-cap-fund-regular-plan|29-06-2020
IgarashiMotorsIndiaLtd.|Autoancillaries|0.79|106.5|0.50|-0.02%|1.13%(Dec2019)|0.18%(Aug2019)|4.72L|0.00|SmallCap|67.59|axis-small-cap-fund-regular-plan|29-06-2020
V-GuardIndustriesLtd.|Industrialelectronics|0.45|96.6|0.45|0.01%|2.35%(Jun2019)|0.44%(Feb2020)|5.46L|0.00|SmallCap|67.59|axis-small-cap-fund-regular-plan|29-06-2020
CholamandalamInvestment&FinanceCo.Ltd.|Nbfc|3.68|77.5|0.36|-0.04%|0.67%(Feb2020)|0%(Jun2019)|5.47L|0.00|Other|6.25|axis-small-cap-fund-regular-plan|29-06-2020
SumitomoChemicalIndiaPrivateLtd.|Chemicals-organic|0.29|61.5|0.29|0.02%|0.29%(May2020)|0%(Jun2019)|2.37L|0.00|Other|6.25|axis-small-cap-fund-regular-plan|29-06-2020
VarrocEngineeringPvtLtd.|Autoancillaries|0.79|60.9|0.29|-0.06%|3.29%(Jun2019)|0.29%(May2020)|4.71L|0.00|SmallCap|67.59|axis-small-cap-fund-regular-plan|29-06-2020
RBLBankLtd.|Banks|4.74|34.3|0.16|-0.01%|0.64%(Dec2019)|0%(Jun2019)|2.85L|0.00|MidCap|13.23|axis-small-cap-fund-regular-plan|29-06-2020
MMForgingsLtd.|Castings/forgings|1.98|22.8|0.11|-0.01%|0.6%(Jun2019)|0.11%(May2020)|1.44L|0.00|SmallCap|67.59|axis-small-cap-fund-regular-plan|29-06-2020
J.b.Chemicals&PharmaceuticalsLtd.|Pharmaceuticals|1.63|7.6|0.04|0.01%|0.04%(May2020)|0%(Jun2019)|11.08k|0.00|SmallCap|67.59|axis-small-cap-fund-regular-plan|29-06-2020
Larsen&ToubroLtd.|Engineering,designing,construction|13.43|32.3|8.50|0.01%|9.84%(Jun2019)|8.49%(Apr2020)|34.59k|0.00|LargeCap|35.8|invesco-india-infrastructure-fund|29-06-2020
NationalThermalPowerCorporationLtd.|Power|11.99|31.6|8.34|-0.06%|8.63%(Mar2020)|0%(Jun2019)|3.23L|0.00|LargeCap|35.8|invesco-india-infrastructure-fund|29-06-2020
BhartiAirtelLtd.|Telecom-services|5.13|19.5|5.13|0.18%|5.13%(May2020)|2.89%(Jun2019)|35.21k|0.00|LargeCap|35.8|invesco-india-infrastructure-fund|29-06-2020
IndraprasthaGasLtd.|Lpg/cng/png/lngsupplier|4.69|17.8|4.69|-0.22%|4.91%(Apr2020)|2.64%(Jun2019)|37.70k|0.00|MidCap|22.23|invesco-india-infrastructure-fund|29-06-2020
AIAEngineeringLtd.|Castings/forgings|3.85|14.6|3.85|0.25%|3.85%(May2020)|2.98%(Aug2019)|8.78k|585.00|MidCap|22.23|invesco-india-infrastructure-fund|29-06-2020
DixonTechnologies(India)Ltd.|Consumerelctronics|3.67|13.9|3.67|0.10%|3.67%(May2020)|0%(Jun2019)|2.86k|0.00|SmallCap|35.57|invesco-india-infrastructure-fund|29-06-2020
TorrentPowerLtd.|Power|11.99|13.9|3.65|-0.28%|3.93%(Apr2020)|0%(Jun2019)|43.49k|0.00|MidCap|22.23|invesco-india-infrastructure-fund|29-06-2020
SiemensLtd.|Powerequipment|3.46|13.1|3.46|0.61%|3.46%(May2020)|0%(Jun2019)|12.05k|2.91k|LargeCap|35.8|invesco-india-infrastructure-fund|29-06-2020
TCIExpressLtd.|Logisticssolutionprovider|8.61|12.9|3.41|-0.46%|4.13%(Jan2020)|1.88%(Jun2019)|20.04k|0.00|SmallCap|35.57|invesco-india-infrastructure-fund|29-06-2020
GujaratGasLtd.|Gastransmission/marketing|5.87|11.4|3.01|-0.35%|3.47%(Mar2020)|0%(Jun2019)|47.43k|0.00|Other|3.01|invesco-india-infrastructure-fund|29-06-2020
UltratechCementLtd.|Cement|5.37|11.3|2.99|0.62%|3%(Sep2019)|1.59%(Jun2019)|2.90k|451.00|LargeCap|35.8|invesco-india-infrastructure-fund|29-06-2020
GrindwellNortonLtd.|Abrasives|2.9|11|2.90|-0.03%|3.09%(Sep2019)|2.15%(Jul2019)|20.77k|0.00|SmallCap|35.57|invesco-india-infrastructure-fund|29-06-2020
GujaratStatePetronetLtd.|Gastransmission/marketing|5.87|10.9|2.86|0.04%|5.88%(Jan2020)|2.72%(Mar2020)|54.95k|5.21k|MidCap|22.23|invesco-india-infrastructure-fund|29-06-2020
HGInfraEngineeringLtd.|Engineering,designing,construction|13.43|10.8|2.85|-0.42%|4.88%(Dec2019)|1.74%(Aug2019)|65.73k|0.00|SmallCap|35.57|invesco-india-infrastructure-fund|29-06-2020
PNCInfratechLtd.|Constructioncivil|5.38|10.8|2.84|-0.36%|4.14%(Jun2019)|2.73%(Mar2020)|1.02L|10.20k|SmallCap|35.57|invesco-india-infrastructure-fund|29-06-2020
MahindraLogisticsLtd.|Logisticssolutionprovider|8.61|10.2|2.70|0.10%|3.05%(Nov2019)|1.73%(Aug2019)|39.98k|3.52k|SmallCap|35.57|invesco-india-infrastructure-fund|29-06-2020
AhluwaliaContracts(India)Ltd.|Constructioncivil|5.38|9.6|2.54|0.44%|3.18%(Feb2020)|2.1%(Apr2020)|57.64k|15.81k|SmallCap|35.57|invesco-india-infrastructure-fund|29-06-2020
ContainerCorporationOfIndiaLtd.|Logisticssolutionprovider|8.61|9.5|2.50|-0.07%|4.57%(Jun2019)|2.5%(May2020)|25.23k|0.00|LargeCap|35.8|invesco-india-infrastructure-fund|29-06-2020
TheRamcoCementsLtd.|Cement|5.37|9|2.38|0.60%|2.57%(Nov2019)|1.78%(Apr2020)|14.95k|3.17k|MidCap|22.23|invesco-india-infrastructure-fund|29-06-2020
KECInternationalLtd.|Engineering,designing,construction|13.43|7.9|2.08|-0.06%|3.21%(Jul2019)|2.08%(May2020)|40.18k|0.00|SmallCap|35.57|invesco-india-infrastructure-fund|29-06-2020
KEIIndustriesLtd.|Cables-electricals|1.94|7.4|1.94|-0.16%|2.25%(Mar2020)|0%(Jun2019)|26.42k|0.00|SmallCap|35.57|invesco-india-infrastructure-fund|29-06-2020
#BalkrishnaIndustriesLtd.|Tyres&allied|1.9|7.2|1.90|1.90%|1.9%(May2020)|0%(Jun2019)|6.67k|6.67k|MidCap|22.23|invesco-india-infrastructure-fund|29-06-2020
BhartiInfratelLtd.|Telecom-equipment|1.89|7.2|1.89|-0.24%|2.13%(Apr2020)|0%(Jun2019)|31.20k|-0.13L|LargeCap|35.8|invesco-india-infrastructure-fund|29-06-2020
HindustanPetroleumCorporationLtd.|Refineries/marketing|2.99|7.1|1.86|-0.32%|2.18%(Apr2020)|0%(Jun2019)|36.26k|0.00|LargeCap|35.8|invesco-india-infrastructure-fund|29-06-2020
MishraDhatuNigamLtd.|Steel|1.82|6.9|1.82|-0.19%|4.1%(Nov2019)|1.82%(May2020)|34.22k|0.00|SmallCap|35.57|invesco-india-infrastructure-fund|29-06-2020
MOILLtd.|Industrialminerals|1.48|5.6|1.48|0.37%|1.81%(Jun2019)|0%(Jun2019)|44.21k|12.96k|SmallCap|35.57|invesco-india-infrastructure-fund|29-06-2020
GreatEasternShippingCo.Ltd.|Shipping|1.36|5.2|1.36|-0.82%|2.21%(Mar2020)|0%(Jun2019)|26.33k|-7.58k|SmallCap|35.57|invesco-india-infrastructure-fund|29-06-2020
RatnamaniMetals&TubesLtd.|Steelproducts|1.35|5.1|1.35|-0.10%|3.45%(Aug2019)|0%(Jun2019)|5.84k|0.00|SmallCap|35.57|invesco-india-infrastructure-fund|29-06-2020
TataMetaliksLtd.|Pigiron|1.33|5.1|1.33|0.06%|1.4%(Feb2020)|0%(Jun2019)|12.13k|2.23k|SmallCap|35.57|invesco-india-infrastructure-fund|29-06-2020
RelianceIndustriesLtd.|Refineries/marketing|2.99|4.3|1.13|-0.04%|3.45%(Dec2019)|0%(Jun2019)|2.92k|0.00|LargeCap|35.8|invesco-india-infrastructure-fund|29-06-2020
HDFCBankLtd.|Banks|15.45|530.3|7.37|-1.12%|10.55%(Dec2019)|6.39%(Feb2020)|5.57L|-0.68L|Other|14.17|invesco-india-dynamic-equity-fund|29-06-2020
RelianceIndustriesLtd.|Refineries/marketing|6.7|482.1|6.70|-0.74%|8.09%(Oct2019)|4.74%(Feb2020)|3.29L|-0.45L|LargeCap|55.48|invesco-india-dynamic-equity-fund|29-06-2020
BhartiAirtelLtd.|Telecom-services|5.54|398.6|5.54|0.08%|5.54%(May2020)|1.96%(Jun2019)|7.21L|-0.62L|LargeCap|55.48|invesco-india-dynamic-equity-fund|29-06-2020
InfosysLtd.|Computers-software|9.35|358.3|4.98|-0.05%|5.5%(Aug2019)|3.16%(Oct2019)|5.18L|0.00|LargeCap|55.48|invesco-india-dynamic-equity-fund|29-06-2020
TataConsultancyServicesLtd.|Computers-software|9.35|314.5|4.37|0.47%|4.37%(May2020)|0%(Jun2019)|1.59L|16.77k|LargeCap|55.48|invesco-india-dynamic-equity-fund|29-06-2020
ICICIBankLtd.|Banks|15.45|293.3|4.08|-1.14%|5.22%(Apr2020)|3.9%(Sep2019)|8.84L|-1.30L|LargeCap|55.48|invesco-india-dynamic-equity-fund|29-06-2020
Nifty50:FuturesNear|Diversified|8.13|293.4|4.08|4.08%|4.08%(May2020)|-20.68%(Jun2019)|30.90k|30.90k|Other|14.17|invesco-india-dynamic-equity-fund|29-06-2020
HindustanUnileverLtd.|Diversified|8.13|291.4|4.05|-0.25%|6.4%(Mar2020)|0%(Jun2019)|1.42L|-2.91k|LargeCap|55.48|invesco-india-dynamic-equity-fund|29-06-2020
KotakMahindraBankLtd.|Banks|15.45|287.6|4.00|-1.57%|5.74%(Mar2020)|3.23%(Nov2019)|2.35L|-0.68L|LargeCap|55.48|invesco-india-dynamic-equity-fund|29-06-2020
UltratechCementLtd.|Cement|3.59|258.2|3.59|0.75%|3.59%(May2020)|1.41%(Aug2019)|66.13k|6.88k|LargeCap|55.48|invesco-india-dynamic-equity-fund|29-06-2020
BajajAutoLtd.|Motorcycles/scooters|3.42|245.7|3.42|0.19%|3.42%(May2020)|0%(Jun2019)|90.63k|0.00|LargeCap|55.48|invesco-india-dynamic-equity-fund|29-06-2020
SiemensLtd.|Powerequipment|2.94|211.8|2.94|0.61%|2.94%(May2020)|0%(Jun2019)|1.94L|43.82k|LargeCap|55.48|invesco-india-dynamic-equity-fund|29-06-2020
ICICILombardGeneralInsuranceCoLtd.|Insurance|2.54|182.8|2.54|-0.53%|3.07%(Apr2020)|0%(Jun2019)|1.41L|-0.35L|LargeCap|55.48|invesco-india-dynamic-equity-fund|29-06-2020
TorrentPowerLtd.|Power|2.34|168.4|2.34|0.23%|2.34%(May2020)|0%(Jun2019)|5.29L|57.92k|MidCap|7.46|invesco-india-dynamic-equity-fund|29-06-2020
UnitedSpiritsLtd.|Brew/distilleries|2.11|151.5|2.11|-1.50%|4.48%(Mar2020)|0%(Jun2019)|2.55L|-2.41L|LargeCap|55.48|invesco-india-dynamic-equity-fund|29-06-2020
TataSteelLtd.|Steel|2.01|144.9|2.01|0.02%|2.01%(May2020)|0%(Jun2019)|4.91L|0.00|LargeCap|55.48|invesco-india-dynamic-equity-fund|29-06-2020
DivisLaboratoriesLtd.|Pharmaceuticals|5.42|144.9|2.01|-1.14%|3.23%(Mar2020)|0%(Jun2019)|60.62k|-0.39L|LargeCap|55.48|invesco-india-dynamic-equity-fund|29-06-2020
SunPharmaceuticalIndustriesLtd.|Pharmaceuticals|5.42|142.4|1.98|0.09%|1.98%(May2020)|0%(Jun2019)|3.00L|0.00|LargeCap|55.48|invesco-india-dynamic-equity-fund|29-06-2020
SBICardsandPaymentServicesLtd.|Nbfc|1.45|104.4|1.45|-0.12%|1.57%(Apr2020)|0%(Jun2019)|1.94L|0.00|Other|14.17|invesco-india-dynamic-equity-fund|29-06-2020
TorrentPharmaceuticalsLtd.|Pharmaceuticals|5.42|103.1|1.43|-1.40%|2.83%(Apr2020)|0%(Jun2019)|43.65k|-0.45L|MidCap|7.46|invesco-india-dynamic-equity-fund|29-06-2020
HDFCAssetManagementCo.Ltd.|Investmentcompanies|1.16|83.3|1.16|0.03%|1.16%(May2020)|0%(Jun2019)|32.98k|0.00|LargeCap|55.48|invesco-india-dynamic-equity-fund|29-06-2020
JubilantFoodworksLtd.|Consumerfood|2.05|56.4|0.78|-2.07%|2.85%(Apr2020)|0%(Jun2019)|34.04k|-0.97L|MidCap|7.46|invesco-india-dynamic-equity-fund|29-06-2020
RelianceIndustriesLtd.|Refineries/marketing|11.56|221.7|11.56|-0.10%|11.66%(Apr2020)|8.83%(Jul2019)|1.51L|0.00|LargeCap|71.01|invesco-india-largecap-fund|29-06-2020
HDFCBankLtd.|Banks|22.35|191.6|9.99|0.52%|10.23%(Nov2019)|8.98%(Mar2020)|2.01L|21.33k|Other|11.07|invesco-india-largecap-fund|29-06-2020
InfosysLtd.|Computers-software|13|142.1|7.41|-0.32%|8.28%(Mar2020)|6.49%(Oct2019)|2.06L|0.00|LargeCap|71.01|invesco-india-largecap-fund|29-06-2020
ICICIBankLtd.|Banks|22.35|121|6.31|-0.97%|8.73%(Dec2019)|0%(Jun2019)|3.64L|0.00|LargeCap|71.01|invesco-india-largecap-fund|29-06-2020
KotakMahindraBankLtd.|Banks|22.35|115.9|6.05|-0.70%|6.75%(Apr2020)|0%(Jun2019)|94.72k|0.00|LargeCap|71.01|invesco-india-largecap-fund|29-06-2020
TataConsultancyServicesLtd.|Computers-software|13|107.2|5.59|0.40%|7.85%(Aug2019)|0%(Jun2019)|54.36k|5.37k|LargeCap|71.01|invesco-india-largecap-fund|29-06-2020
BhartiAirtelLtd.|Telecom-services|4.9|93.9|4.90|0.31%|4.9%(May2020)|0%(Jun2019)|1.70L|0.00|LargeCap|71.01|invesco-india-largecap-fund|29-06-2020
#HindustanUnileverLtd.|Diversified|4.58|87.8|4.58|4.58%|4.58%(May2020)|0%(Jun2019)|42.65k|42.65k|LargeCap|71.01|invesco-india-largecap-fund|29-06-2020
ITCLimited|Cigarettes|4.52|86.7|4.52|1.49%|7.37%(Jul2019)|0%(Jun2019)|4.40L|1.23L|LargeCap|71.01|invesco-india-largecap-fund|29-06-2020
SunPharmaceuticalIndustriesLtd.|Pharmaceuticals|8.21|60.3|3.15|0.05%|3.15%(May2020)|1.76%(Feb2020)|1.27L|0.00|LargeCap|71.01|invesco-india-largecap-fund|29-06-2020
MarutiSuzukiIndiaLtd.|Passenger/utilityvehicles|2.71|52.1|2.71|0.10%|2.71%(May2020)|0%(Jun2019)|9.28k|0.00|LargeCap|71.01|invesco-india-largecap-fund|29-06-2020
ApolloHospitalsEnterprisesLtd.|Hospital|2.42|46.3|2.42|-0.08%|2.54%(Feb2020)|1.43%(Sep2019)|34.14k|0.00|MidCap|11.52|invesco-india-largecap-fund|29-06-2020
BajajAutoLtd.|Motorcycles/scooters|2.3|44.1|2.30|0.06%|2.3%(May2020)|0%(Jun2019)|16.26k|0.00|LargeCap|71.01|invesco-india-largecap-fund|29-06-2020
UltratechCementLtd.|Cement|1.95|37.4|1.95|0.36%|1.95%(Jul2019)|1.59%(Apr2020)|9.57k|1.02k|LargeCap|71.01|invesco-india-largecap-fund|29-06-2020
AbbottIndiaLtd.|Pharmaceuticals|8.21|34.8|1.81|-0.13%|1.94%(Apr2020)|0%(Jun2019)|2.08k|0.00|MidCap|11.52|invesco-india-largecap-fund|29-06-2020
DivisLaboratoriesLtd.|Pharmaceuticals|8.21|34.2|1.78|0.03%|2.43%(Feb2020)|0%(Jun2019)|14.29k|0.00|LargeCap|71.01|invesco-india-largecap-fund|29-06-2020
